"DirectedEdge[{5586032021307, 3, 1}, {5554650961698, 3, 1}]"
"DirectedEdge[{5586032021307, 3, 1}, {5585902881144, 3, 1}]"
"DirectedEdge[{5586032021307, 3, 1}, {5586030426984, 3, 1}]"
"DirectedEdge[{5586032021307, 3, 1}, {5586032023494, 3, 1}]"
"DirectedEdge[{5586032021307, 3, 1}, {5586032025681, 3, 1}]"
"DirectedEdge[{5586032021307, 3, 1}, {5586032080356, 3, 1}]"
"DirectedEdge[{5586032021307, 3, 1}, {5586032139405, 3, 1}]"
"DirectedEdge[{5586032021307, 3, 1}, {5586033615630, 3, 1}]"
"DirectedEdge[{5586032021307, 3, 1}, {5586161161470, 3, 1}]"
"DirectedEdge[{5554650961698, 3, 1}, {5554521821535, 3, 1}]"
"DirectedEdge[{5554650961698, 3, 1}, {5554649367375, 3, 1}]"
"DirectedEdge[{5554650961698, 3, 1}, {5554650963885, 3, 1}]"
"DirectedEdge[{5554650961698, 3, 1}, {5554650966072, 3, 1}]"
"DirectedEdge[{5554650961698, 3, 1}, {5554651020747, 3, 1}]"
"DirectedEdge[{5554650961698, 3, 1}, {5554651079796, 3, 1}]"
"DirectedEdge[{5554650961698, 3, 1}, {5554652556021, 3, 1}]"
"DirectedEdge[{5554650961698, 3, 1}, {5554655744667, 3, 1}]"
"DirectedEdge[{5554650961698, 3, 1}, {5554660527636, 3, 1}]"
"DirectedEdge[{5554650961698, 3, 1}, {5554780101861, 3, 1}]"
"DirectedEdge[{5554650961698, 3, 1}, {5586032021307, 3, 1}]"
"DirectedEdge[{5585902881144, 3, 1}, {5554521821535, 3, 1}]"
"DirectedEdge[{5585902881144, 3, 1}, {5585901286821, 3, 1}]"
"DirectedEdge[{5585902881144, 3, 1}, {5585902883331, 3, 1}]"
"DirectedEdge[{5585902881144, 3, 1}, {5585902885518, 3, 1}]"
"DirectedEdge[{5585902881144, 3, 1}, {5585902940193, 3, 1}]"
"DirectedEdge[{5585902881144, 3, 1}, {5585902999242, 3, 1}]"
"DirectedEdge[{5585902881144, 3, 1}, {5585904475467, 3, 1}]"
"DirectedEdge[{5585902881144, 3, 1}, {5586032021307, 3, 1}]"
"DirectedEdge[{5585902881144, 3, 1}, {5586161161470, 3, 1}]"
"DirectedEdge[{5586030426984, 3, 1}, {5554649367375, 3, 1}]"
"DirectedEdge[{5586030426984, 3, 1}, {5585901286821, 3, 1}]"
"DirectedEdge[{5586030426984, 3, 1}, {5586030429171, 3, 1}]"
"DirectedEdge[{5586030426984, 3, 1}, {5586030431358, 3, 1}]"
"DirectedEdge[{5586030426984, 3, 1}, {5586030486033, 3, 1}]"
"DirectedEdge[{5586030426984, 3, 1}, {5586030545082, 3, 1}]"
"DirectedEdge[{5586030426984, 3, 1}, {5586032021307, 3, 1}]"
"DirectedEdge[{5586030426984, 3, 1}, {5586033615630, 3, 1}]"
"DirectedEdge[{5586030426984, 3, 1}, {5586159567147, 3, 1}]"
"DirectedEdge[{5586032023494, 3, 1}, {5554650963885, 3, 1}]"
"DirectedEdge[{5586032023494, 3, 1}, {5585902883331, 3, 1}]"
"DirectedEdge[{5586032023494, 3, 1}, {5586030429171, 3, 1}]"
"DirectedEdge[{5586032023494, 3, 1}, {5586032021307, 3, 1}]"
"DirectedEdge[{5586032023494, 3, 1}, {5586032025681, 3, 1}]"
"DirectedEdge[{5586032023494, 3, 1}, {5586032082543, 3, 1}]"
"DirectedEdge[{5586032023494, 3, 1}, {5586032141592, 3, 1}]"
"DirectedEdge[{5586032023494, 3, 1}, {5586033617817, 3, 1}]"
"DirectedEdge[{5586032023494, 3, 1}, {5586161163657, 3, 1}]"
"DirectedEdge[{5586032025681, 3, 1}, {5554650966072, 3, 1}]"
"DirectedEdge[{5586032025681, 3, 1}, {5585902885518, 3, 1}]"
"DirectedEdge[{5586032025681, 3, 1}, {5586030431358, 3, 1}]"
"DirectedEdge[{5586032025681, 3, 1}, {5586032021307, 3, 1}]"
"DirectedEdge[{5586032025681, 3, 1}, {5586032023494, 3, 1}]"
"DirectedEdge[{5586032025681, 3, 1}, {5586032084730, 3, 1}]"
"DirectedEdge[{5586032025681, 3, 1}, {5586032143779, 3, 1}]"
"DirectedEdge[{5586032025681, 3, 1}, {5586033620004, 3, 1}]"
"DirectedEdge[{5586032025681, 3, 1}, {5586161165844, 3, 1}]"
"DirectedEdge[{5586032080356, 3, 1}, {5554651020747, 3, 1}]"
"DirectedEdge[{5586032080356, 3, 1}, {5585902940193, 3, 1}]"
"DirectedEdge[{5586032080356, 3, 1}, {5586030486033, 3, 1}]"
"DirectedEdge[{5586032080356, 3, 1}, {5586032021307, 3, 1}]"
"DirectedEdge[{5586032080356, 3, 1}, {5586032082543, 3, 1}]"
"DirectedEdge[{5586032080356, 3, 1}, {5586032084730, 3, 1}]"
"DirectedEdge[{5586032080356, 3, 1}, {5586032139405, 3, 1}]"
"DirectedEdge[{5586032080356, 3, 1}, {5586033674679, 3, 1}]"
"DirectedEdge[{5586032080356, 3, 1}, {5586161220519, 3, 1}]"
"DirectedEdge[{5586032139405, 3, 1}, {5554651079796, 3, 1}]"
"DirectedEdge[{5586032139405, 3, 1}, {5585902999242, 3, 1}]"
"DirectedEdge[{5586032139405, 3, 1}, {5586030545082, 3, 1}]"
"DirectedEdge[{5586032139405, 3, 1}, {5586032021307, 3, 1}]"
"DirectedEdge[{5586032139405, 3, 1}, {5586032080356, 3, 1}]"
"DirectedEdge[{5586032139405, 3, 1}, {5586032141592, 3, 1}]"
"DirectedEdge[{5586032139405, 3, 1}, {5586032143779, 3, 1}]"
"DirectedEdge[{5586032139405, 3, 1}, {5586033733728, 3, 1}]"
"DirectedEdge[{5586032139405, 3, 1}, {5586161279568, 3, 1}]"
"DirectedEdge[{5586033615630, 3, 1}, {5554652556021, 3, 1}]"
"DirectedEdge[{5586033615630, 3, 1}, {5585904475467, 3, 1}]"
"DirectedEdge[{5586033615630, 3, 1}, {5586030426984, 3, 1}]"
"DirectedEdge[{5586033615630, 3, 1}, {5586032021307, 3, 1}]"
"DirectedEdge[{5586033615630, 3, 1}, {5586033617817, 3, 1}]"
"DirectedEdge[{5586033615630, 3, 1}, {5586033620004, 3, 1}]"
"DirectedEdge[{5586033615630, 3, 1}, {5586033674679, 3, 1}]"
"DirectedEdge[{5586033615630, 3, 1}, {5586033733728, 3, 1}]"
"DirectedEdge[{5586033615630, 3, 1}, {5586162755793, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5554780101861, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5585902881144, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5586032021307, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5586159567147, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5586161163657, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5586161165844, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5586161220519, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5586161279568, 3, 1}]"
"DirectedEdge[{5586161161470, 3, 1}, {5586162755793, 3, 1}]"
