"{109636419052937157723438118980837975564, 4, 1}","{106977963061367325977630504860277286412, 4, 1}","{106977963060438870948166469654102943244, 4, 1}","{106977963060438870948166469654102943372, 4, 1}","{106977963060438870948166469653968725644, 4, 1}","{106977963060438870948166469104212911756, 4, 1}","{106977963061676810987451849379112035980, 4, 1}","{106977963061676813348635090813934642828, 4, 1}","{106894886311940256106578602872667121292, 4, 1}","{106894886311940256106578602872683898508, 4, 1}","{106894886311945091809857061389382723212, 4, 1}"
"{109636419052937157723438118980837975564, 4, 1}","{109636419052937157723438681930791396876, 4, 1}","{109636419052937006607711230102144558604, 4, 1}","{109553342303200449365654742160877037068, 4, 1}","{109221035304254220397428790395806950924, 4, 1}","{109221035304254220397428790395806955020, 4, 1}","{109221035304254220397428790395823732236, 4, 1}","{109221035304256638249068019654173144588, 4, 1}","{109221035304256638249068019654156367372, 4, 1}","{110217956301095325153745874949366625804, 4, 1}","{110217956301095325153745874948292883980, 4, 1}"
"{109636419052937157723438118980837975564, 4, 1}","{109636419052937157723438118980838499852, 4, 1}","{109636419052937006607710667152191661580, 4, 1}","{109304112053990777639484715387121575436, 4, 1}","{109304112053990777639484715387122624012, 4, 1}","{109304112053990777639484715387122623500, 4, 1}","{109304112053990777648708087423977399308, 4, 1}","{109298919757132242821079556927648179212, 4, 1}","{109298919757132242821079556927649227788, 4, 1}","{109298919757132242821079556927666005004, 4, 1}","{109298919757132245182262798362488611852, 4, 1}"
"{109636419052937157723438118980837975564, 4, 1}","{109636419052937157723438118980838499852, 4, 1}","{109636419052937157723438118980033193484, 4, 1}","{109636419052937157723438118981106935308, 4, 1}","{109636419052937157723438118981106935052, 4, 1}","{109636419052937157723438118981106926860, 4, 1}","{109639015201366425137252384229271536908, 4, 1}","{109639015201366425137252385328783164684, 4, 1}","{109639015201366425137252385328770581772, 4, 1}","{109639015201366425137254637128584267020, 4, 1}","{109639015201366428679029499280818177292, 4, 1}"
"{109636419052937157723438118980837975564, 4, 1}","{}","{}","{}","{}","{}","{}","{}","{}","{}","{}"
"{109636419052937157723438118980837975564, 4, 1}","{106977963061367325977630504860277286412, 4, 1}","{106977963061367325977630504859471980044, 4, 1}","{106976989505706350697450155391410251276, 4, 1}","{106976989505706350697450155391410267660, 4, 1}","{106976989505707559623269770020584973836, 4, 1}","{277118172966176791354957073736469079564, 4, 1}","{277118172966176791354957073736469075468, 4, 1}","{277118172966176791354812958548393219596, 4, 1}","{277118176769128592039501163038502835724, 4, 1}","{277118176452215941982443812664327034380, 4, 1}"
"{109636419052937157723438118980837975564, 4, 1}","{109636419052937157723438118978690491916, 4, 1}","{109636419052937157723438681928643913228, 4, 1}","{109636419052938366649258296557818619404, 4, 1}","{109304112053992137681032344792748533260, 4, 1}","{109304112053992137681032344792748533004, 4, 1}","{109303138498331162400851995324686804236, 4, 1}","{109303179063150369704192843219189376268, 4, 1}","{109303179063150369704192843219189376012, 4, 1}","{109303179063150369704192843218652505100, 4, 1}","{109303173992547968791275237231839683596, 4, 1}"
"{109636419052937157723438118980837975564, 4, 1}","{}","{}","{}","{}","{}","{}","{}","{}","{}","{}"
"{109636419052937157723438118980837975564, 4, 1}","{109636419052937157723438118978690491916, 4, 1}","{109636419052008702693974083772516148748, 4, 1}","{109636419052008702693974646722469570060, 4, 1}","{109636419052627672713617336859919132172, 4, 1}","{110301033050520130650069240390059304460, 4, 1}","{110051802801310458923899776566256739852, 4, 1}","{110051802801310458923899776566256731660, 4, 1}","{110051802801310458923899776566256748044, 4, 1}","{109387188803418000987447873036116575756, 4, 1}","{109387188803418000987447873035982358028, 4, 1}"
"{109636419052937157723438118980837975564, 4, 1}","{109636419052937157723438118978690491916, 4, 1}","{109636419052937157723438118978690492044, 4, 1}","{110301033050829615659890022508830664332, 4, 1}","{110301073615648822963230870403333236364, 4, 1}","{110301073615648822963230870403199018636, 4, 1}","{109636459617756365026778966873058846348, 4, 1}","{109636459617756365026778966873050457740, 4, 1}","{109968766616702593995004918638120543884, 4, 1}","{109968766616702593995004918641341769356, 4, 1}","{109968766616702593995004918628456867468, 4, 1}"
