"ID","Name","Flags","Time of dayTime of day","Day of the WeekDay of the Week","Size / CapacitySize / Capacity","Age Restrictions","Age Group","Wait","Start Date","Season","Level","Time of Year"
"2954","After-School Department","Private","-","","12            of ∞","19y 0m - 101y 0m","Private","0","Tue 01/01/2019","Employee Database","Part-Time Employees","N/A"
"2952","Basketball Department","Private","-","","22            of ∞","19y 0m - 101y 0m","Private","0","Tue 01/01/2019","Employee Database","Part-Time Employees","N/A"
"2955","Birthday & Event Department","Private","-","","10            of ∞","19y 0m - 101y 0m","Private","0","Tue 01/01/2019","Employee Database","Part-Time Employees","N/A"
"2956","Fastbreak Kids Department","Private","-","","5            of ∞","19y 0m - 101y 0m","Private","0","Tue 01/01/2019","Employee Database","Part-Time Employees","N/A"
"2957","Flag Football Department","Private","-","","0            of ∞","19y 0m - 101y 0m","Private","0","Tue 01/01/2019","Employee Database","Part-Time Employees","N/A"
"2951","Full-Time Employees","Private","-","","11            of ∞","19y 0m - 101y 0m","Private","0","Tue 01/01/2019","Employee Database","Full-Time Employees","N/A"
"2959","Hustle Department","Private","-","","0            of ∞","19y 0m - 101y 0m","Private","0","Tue 01/01/2019","Employee Database","Part-Time Employees","N/A"
"2958","Lacrosse Department","Private","-","","0            of ∞","19y 0m - 101y 0m","Private","0","Tue 01/01/2019","Employee Database","Part-Time Employees","N/A"
"2953","Personal Training Department","Private","-","","0            of ∞","19y 0m - 101y 0m","Private","0","Tue 01/01/2019","Employee Database","Part-Time Employees","N/A"
"2960","Travel Teams","Private","-","","17            of ∞","19y 0m - 101y 0m","Private","0","Tue 01/01/2019","Employee Database","Part-Time Employees","N/A"
"6865","Baseball Trial-Thurs 3:45pm-4:30pm (Ages 6-8)","","03:45pm","Th","5            of 12","1y 0m - 9y 0m","Youth","0","Thu 08/15/2024","2024 / 2025 Trial Classes (Ages 1+)","Fall Trial Classes","School Year"
"6863","Baseball Trial-Tuesday 3:45pm-4:30pm (Ages 3-5)","Full","03:45pm","T","12            of 12","1y 0m - 9y 0m","Youth","2","Tue 08/13/2024","2024 / 2025 Trial Classes (Ages 1+)","Fall Trial Classes","School Year"
"6862","Soccer Trial-Monday 3:45pm-4:30pm (Ages 3-5)","Over","03:45pm","M","13            of 12","1y 0m - 9y 0m","Youth","7","Mon 08/19/2024","2024 / 2025 Trial Classes (Ages 1+)","Fall Trial Classes","School Year"
"6864","Tennis Trial-Weds 3:45pm-4:30pm (Ages 3-5)","Full","03:45pm","W","12            of 12","1y 0m - 9y 0m","Youth","4","Wed 08/14/2024","2024 / 2025 Trial Classes (Ages 1+)","Fall Trial Classes","School Year"
"6451","[Allen St-PRIV] Wed 4:15pm Basketball (4th grade)","Full","03:30pm","W","8            of 8","1y 0m - 18y 0m","U-17","0","Wed 09/04/2024","24-FA Private Groups","Indoors","Fall"
"6437","[BUCKLEY-PRIV] Flag FB - Thursday 3:15pm [2nd gra]","","03:15pm","Th","9            of 13","1y 0m - 14y 0m","U-11","0","Thu 09/05/2024","24-FA Private Groups","Outdoors","Fall"
"6438","[PACKER-PRIV] Wed 3:20pm Flag-Football (5th-6th)","","03:45pm","W","5            of ∞","1y 0m - 14y 0m","U-16","0","Wed 09/04/2024","24-FA Private Groups","Outdoors","Fall"
"6721","[PRIV- CHEER St Ig.] Mon 5:10pm-6:05pm (4th/5th)","","05:10pm","M","2            of 12","1y 0m - 18y 0m","U-17","0","Mon 09/16/2024","24-FA Private Groups","Indoors","Fall"
