ID,Name,Flags,Season
2954,After-School Department,Private,Employee Database
2952,Basketball Department,Private,Employee Database
2955,Birthday & Event Department,Private,Employee Database
2956,Fastbreak Kids Department,Private,Employee Database
2957,Flag Football Department,Private,Employee Database
2951,Full-Time Employees,Private,Employee Database
2959,Hustle Department,Private,Employee Database
2958,Lacrosse Department,Private,Employee Database
2953,Personal Training Department,Private,Employee Database
2960,Travel Teams,Private,Employee Database
6865,Baseball Trial-Thurs 3:45pm-4:30pm (Ages 6-8),,2024 / 2025 Trial Classes (Ages 1+)
6863,Baseball Trial-Tuesday 3:45pm-4:30pm (Ages 3-5),Full,2024 / 2025 Trial Classes (Ages 1+)
6862,Soccer Trial-Monday 3:45pm-4:30pm (Ages 3-5),Over,2024 / 2025 Trial Classes (Ages 1+)
6864,Tennis Trial-Weds 3:45pm-4:30pm (Ages 3-5),Full,2024 / 2025 Trial Classes (Ages 1+)
6451,[Allen St-PRIV] Wed 4:15pm Basketball (4th grade),Full,24-FA Private Groups
6437,[BUCKLEY-PRIV] Flag FB - Thursday 3:15pm [2nd gra],,24-FA Private Groups
6438,[PACKER-PRIV] Wed 3:20pm Flag-Football (5th-6th),,24-FA Private Groups
6721,[PRIV- CHEER St Ig.] Mon 5:10pm-6:05pm (4th/5th),,24-FA Private Groups
6439,[PRIV- Ramaz] Basketball Thursday 5:15pm (6 years),,24-FA Private Groups
6714,[PRIV- SACRED HEART CHEER] Wed 4:35pm-5:30pm (5th),,24-FA Private Groups
6452,[PRIV-3-4'S] Multi-Sport Friday 3:30pm (3-4 years),,24-FA Private Groups
6469,[Priv-All Souls] Monday Multisport 3:00pm,,24-FA Private Groups
6765,[Priv-AS] Jr Hoop Sat 9:00am-10:05am (2nd),,24-FA Private Groups
6440,[PRIV-BUCKLEY] Baseball Wed 3:15pm (2nd grade),,24-FA Private Groups
6458,[PRIV-BUCKLEY] Basketball Mon 3:50pm (2nd),,24-FA Private Groups
6441,[PRIV-BURKS] Multi-Sport Tuesday 3:30pm,,24-FA Private Groups
6454,[Priv-Chabad] Monday Multisport 3:10pm,,24-FA Private Groups
6654,[PRIV-CHEER] Tuesday 4:35pm-5:30pm (3rd/4th),,24-FA Private Groups
6442,[PRIV-COLLEGIATE] Tues 3:20pm Flag Football(6th),,24-FA Private Groups
6443,[PRIV-DAL] Football Monday 3:15pm (5th grade),,24-FA Private Groups
6658,[PRIV-HM CHEER] Thurs 4:35pm-5:30pm (2nd Grade),,24-FA Private Groups
6459,[PRIV-HM] Basketball Friday 4:30pm (1st grade),Full,24-FA Private Groups
6460,[PRIV-HM] Multi-Sport Wed 3:10pm (Pre-K),Full,24-FA Private Groups
