"ID","Name","Flags","Time of dayTime of day","Day of the WeekDay of the Week","Size / CapacitySize / Capacity","Age Restrictions","Age Group","Wait","Start Date","Season","Level","Time of Year"
"6286","[Hoop Academy] Sat 12:10pm-1:40pm (Gr. 2nd/3rd)","","12:10pm","Sa","38            of 40","6y 0m - 15y 0m","U-9","1","Sat 04/06/2024","24-SP Boys Hoop Academy (1st-8th)","Hoop Academy (Boys 1st-8th)","Spring"
"6288","[Jr Hoop Academy] Sat 10:00-11:10am (Gr. 1st/2nd)","Full","10:00am","Sa","20            of 20","6y 0m - 15y 0m","U-8","3","Sat 03/30/2024","24-SP Boys Hoop Academy (1st-8th)","Hoop Academy (Boys 1st-8th)","Spring"
"6304","[LEVEL-UP] Monday 4:55pm - 5:55pm (K - 2nd)","","04:55pm","M","20            of 22","5y 0m - 13y 0m","U-8","0","Mon 03/25/2024","24-SP Basketball Classes (Pre K - 6th)","Level Up Instruction","Spring"
"6306","[LEVEL-UP] Wednesday 3:50pm - 4:50pm (K - 2nd)","","03:50pm","W","21            of 22","5y 0m - 13y 0m","U-8","0","Wed 03/27/2024","24-SP Basketball Classes (Pre K - 6th)","Level Up Instruction","Spring"
"6308","[BBall 101] Saturday 9:00am-9:50am (Ages 4-6)","","09:00am","Sa","16            of 20","3y 10m - 7y 3m","U-7","0","Sat 03/30/2024","24-SP Basketball Classes (Pre K - 6th)","101 Intro to Bball","Spring"
"6309","[BBall 101] Sunday 10:00am - 10:50am (Ages 4-6)","Full","10:00am","S","20            of 20","3y 10m - 7y 3m","U-7","6","Sun 03/31/2024","24-SP Basketball Classes (Pre K - 6th)","101 Intro to Bball","Spring"
"6310","[BBall 101] Thursday 3:00pm - 3:45pm (Ages 4-6)","Over","03:00pm","Th","14            of 13","3y 10m - 7y 3m","U-7","1","Thu 03/28/2024","24-SP Basketball Classes (Pre K - 6th)","101 Intro to Bball","Spring"
"6311","[BBall 101] Tuesday 3:50pm - 4:50pm (Ages 4 - 6)","","03:50pm","T","12            of 20","3y 10m - 7y 3m","U-7","0","Tue 03/26/2024","24-SP Basketball Classes (Pre K - 6th)","101 Intro to Bball","Spring"
"6287","[Hoop Academy] Sat 3:30pm-5:00pm (Gr. 6th-8th)","","03:30pm","Sa","20            of 40","6y 0m - 15y 0m","U-14","0","Sat 04/06/2024","24-SP Boys Hoop Academy (1st-8th)","Hoop Academy (Boys 1st-8th)","Spring"
"6303","[LEVEL-UP] Friday 3:50pm - 4:50pm (K - 2nd)","Over","03:50pm","F","13            of 12","5y 0m - 13y 0m","U-13","0","Fri 03/29/2024","24-SP Basketball Classes (Pre K - 6th)","Level Up Instruction","Spring"
"6305","[LEVEL-UP] Thursday 3:50pm - 4:50pm (K - 2nd)","Full","03:50pm","Th","22            of 22","5y 0m - 13y 0m","U-13","0","Thu 03/28/2024","24-SP Basketball Classes (Pre K - 6th)","Level Up Instruction","Spring"
"6307","[LU-GIRLS] Basketball Friday 3:50pm (Gr 1st-2nd)","","03:50pm","F","10            of 12","5y 0m - 13y 0m","U-13","0","Fri 03/29/2024","24-SP Basketball Classes (Pre K - 6th)","Level Up Instruction","Spring"
"6312","[GAME-ON] Friday 4:55pm - 5:55pm (3rd - 5th) DNR","","04:55pm","F","0            of ∞","7y 0m - 13y 0m","U-12","0","Fri 03/29/2024","24-SP Basketball Classes (Pre K - 6th)","Game-On Gameplay","Spring"
"6313","[GAME-ON] Monday 3:50pm-4:50pm (3rd - 5th)","","03:50pm","M","15            of 22","7y 0m - 13y 0m","U-12","0","Mon 03/25/2024","24-SP Basketball Classes (Pre K - 6th)","Game-On Gameplay","Spring"
"6316","[GAME-ON] Wednesday 4:55pm-5:55pm (3rd - 5th)","","04:55pm","W","18            of 22","7y 0m - 13y 0m","U-12","0","Wed 03/27/2024","24-SP Basketball Classes (Pre K - 6th)","Game-On Gameplay","Spring"
"6500","[PS-183] Sunday 10:30am - 11:40am (3rd/4th) DNR","","10:30am","S","0            of ∞","7y 0m - 13y 0m","U-12","0","Sun 04/07/2024","24-SP Basketball Classes (Pre K - 6th)","Game-On Gameplay","Spring"
"6501","[PS-183] Sunday 11:50am - 1:00pm (5th/6th) DNR","","11:50am","S","0            of ∞","7y 0m - 13y 0m","U-12","0","Sun 04/07/2024","24-SP Basketball Classes (Pre K - 6th)","Game-On Gameplay","Spring"
"6499","[PS-183] Sunday 9:15am - 10:25am (1st/2nd) DNR","","09:15am","S","0            of ∞","7y 0m - 13y 0m","U-12","0","Sun 04/07/2024","24-SP Basketball Classes (Pre K - 6th)","Game-On Gameplay","Spring"
"6285","[Hoop Academy] Sat 1:50pm-3:20pm (Gr. 4th/5th)","","01:50pm","Sa","20            of 40","6y 0m - 15y 0m","U-11","0","Sat 04/06/2024","24-SP Boys Hoop Academy (1st-8th)","Hoop Academy (Boys 1st-8th)","Spring"
"6314","[GAME-ON] Thursday 4:55pm-5:55pm (2nd - 4th)","","04:55pm","Th","10            of 22","7y 0m - 13y 0m","U-11","0","Thu 03/28/2024","24-SP Basketball Classes (Pre K - 6th)","Game-On Gameplay","Spring"
"6315","[GAME-ON] Tuesday 4:55pm - 5:55pm (1st - 3rd)","","04:55pm","T","11            of 22","7y 0m - 13y 0m","U-10","0","Tue 03/26/2024","24-SP Basketball Classes (Pre K - 6th)","Game-On Gameplay","Spring"
