"Thu 4 Apr 2024","Team 12 (Ducks)","Team 6 (Wildcats)"
"Thu 4 Apr 2024","Team 14 (Hawks)","Team 4 (Wolfpack)"
"Thu 4 Apr 2024","Team 2 (Tigers)","Team 3 (Spartans)"
"Thu 4 Apr 2024","Team 10 (Tar Heels)","Team 8 (Eagles)"
"Thu 4 Apr 2024","Team 1 (Gophers)","Team 9 (Huskies)"
"Thu 4 Apr 2024","Team 13 (Bears)","Team 5 (Bulldogs)"
"Thu 4 Apr 2024","Team 11 (Cavaliers)","Team 7 (Red Storm)"
"Thu 11 Apr 2024","Team 3 (Spartans)","Team 13 (Bears)"
"Thu 11 Apr 2024","Team 8 (Eagles)","Team 1 (Gophers)"
"Thu 11 Apr 2024","Team 5 (Bulldogs)","Team 11 (Cavaliers)"
"Thu 11 Apr 2024","Team 14 (Hawks)","Team 2 (Tigers)"
"Thu 11 Apr 2024","Team 9 (Huskies)","Team 7 (Red Storm)"
"Thu 11 Apr 2024","Team 4 (Wolfpack)","Team 12 (Ducks)"
"Thu 11 Apr 2024","Team 6 (Wildcats)","Team 10 (Tar Heels)"
"Thu 18 Apr 2024","Team 9 (Huskies)","Team 5 (Bulldogs)"
"Thu 18 Apr 2024","Team 7 (Red Storm)","Team 1 (Gophers)"
"Thu 18 Apr 2024","Team 10 (Tar Heels)","Team 4 (Wolfpack)"
"Thu 18 Apr 2024","Team 8 (Eagles)","Team 6 (Wildcats)"
"Thu 18 Apr 2024","Team 11 (Cavaliers)","Team 3 (Spartans)"
"Thu 18 Apr 2024","Team 12 (Ducks)","Team 2 (Tigers)"
"Thu 18 Apr 2024","Team 13 (Bears)","Team 14 (Hawks)"
"Thu 25 Apr 2024","Team 8 (Eagles)","Team 2 (Tigers)"
"Thu 25 Apr 2024","Team 4 (Wolfpack)","Team 13 (Bears)"
"Thu 25 Apr 2024","Team 7 (Red Storm)","Team 12 (Ducks)"
"Thu 25 Apr 2024","Team 1 (Gophers)","Team 6 (Wildcats)"
"Thu 25 Apr 2024","Team 3 (Spartans)","Team 14 (Hawks)"
"Thu 2 May 2024","Team 10 (Tar Heels)","Team 1 (Gophers)"
"Thu 2 May 2024","Team 5 (Bulldogs)","Team 3 (Spartans)"
"Thu 2 May 2024","Team 11 (Cavaliers)","Team 4 (Wolfpack)"
"Thu 2 May 2024","Team 7 (Red Storm)","Team 13 (Bears)"
"Thu 2 May 2024","Team 6 (Wildcats)","Team 14 (Hawks)"
"Thu 2 May 2024","Team 9 (Huskies)","Team 2 (Tigers)"
"Thu 2 May 2024","Team 8 (Eagles)","Team 12 (Ducks)"
"Thu 9 May 2024","Team 9 (Huskies)","Team 12 (Ducks)"
"Thu 9 May 2024","Team 5 (Bulldogs)","Team 6 (Wildcats)"
"Thu 9 May 2024","Team 8 (Eagles)","Team 7 (Red Storm)"
"Thu 9 May 2024","Team 10 (Tar Heels)","Team 3 (Spartans)"
"Thu 9 May 2024","Team 13 (Bears)","Team 11 (Cavaliers)"
"Thu 9 May 2024","Team 4 (Wolfpack)","Team 2 (Tigers)"
"Thu 9 May 2024","Team 1 (Gophers)","Team 14 (Hawks)"
"Thu 16 May 2024","Team 4 (Wolfpack)","Team 11 (Cavaliers)"
"Thu 16 May 2024","Team 2 (Tigers)","Team 7 (Red Storm)"
"Thu 16 May 2024","Team 8 (Eagles)","Team 9 (Huskies)"
"Thu 16 May 2024","Team 13 (Bears)","Team 12 (Ducks)"
"Thu 16 May 2024","Team 14 (Hawks)","Team 10 (Tar Heels)"
"Thu 16 May 2024","Team 3 (Spartans)","Team 6 (Wildcats)"
"Thu 16 May 2024","Team 5 (Bulldogs)","Team 1 (Gophers)"
