"Tue 2 Apr 2024","Team 12 (Red Storm)","Team 6 (Spartans)"
"Tue 2 Apr 2024","Team 13 (Huskies)","Team 5 (Wolfpack)"
"Tue 2 Apr 2024","Team 1 (Cavaliers)","Team 9 (Tar Heels)"
"Tue 2 Apr 2024","Team 2 (Eagles)","Team 3 (Tigers)"
"Tue 2 Apr 2024","Team 14 (Bulldogs)","Team 4 (Ducks)"
"Tue 9 Apr 2024","Team 9 (Tar Heels)","Team 7 (Wildcats)"
"Tue 9 Apr 2024","Team 4 (Ducks)","Team 12 (Red Storm)"
"Tue 9 Apr 2024","Team 14 (Bulldogs)","Team 8 (Hawks)"
"Tue 9 Apr 2024","Team 3 (Tigers)","Team 13 (Huskies)"
"Tue 9 Apr 2024","Team 6 (Spartans)","Team 10 (Gophers)"
"Tue 9 Apr 2024","Team 5 (Wolfpack)","Team 11 (Bears)"
"Tue 9 Apr 2024","Team 2 (Eagles)","Team 1 (Cavaliers)"
"Tue 16 Apr 2024","Team 11 (Bears)","Team 3 (Tigers)"
"Tue 16 Apr 2024","Team 10 (Gophers)","Team 4 (Ducks)"
"Tue 16 Apr 2024","Team 13 (Huskies)","Team 14 (Bulldogs)"
"Tue 16 Apr 2024","Team 7 (Wildcats)","Team 1 (Cavaliers)"
"Tue 16 Apr 2024","Team 9 (Tar Heels)","Team 5 (Wolfpack)"
"Tue 16 Apr 2024","Team 12 (Red Storm)","Team 2 (Eagles)"
"Tue 16 Apr 2024","Team 8 (Hawks)","Team 6 (Spartans)"
"Tue 30 Apr 2024","Team 3 (Tigers)","Team 4 (Ducks)"
"Tue 30 Apr 2024","Team 6 (Spartans)","Team 14 (Bulldogs)"
"Tue 30 Apr 2024","Team 8 (Hawks)","Team 2 (Eagles)"
"Tue 30 Apr 2024","Team 5 (Wolfpack)","Team 7 (Wildcats)"
"Tue 30 Apr 2024","Team 10 (Gophers)","Team 13 (Huskies)"
"Tue 7 May 2024","Team 9 (Tar Heels)","Team 8 (Hawks)"
"Tue 7 May 2024","Team 14 (Bulldogs)","Team 7 (Wildcats)"
"Tue 7 May 2024","Team 1 (Cavaliers)","Team 4 (Ducks)"
"Tue 7 May 2024","Team 10 (Gophers)","Team 3 (Tigers)"
"Tue 7 May 2024","Team 13 (Huskies)","Team 2 (Eagles)"
"Tue 7 May 2024","Team 11 (Bears)","Team 12 (Red Storm)"
"Tue 7 May 2024","Team 5 (Wolfpack)","Team 6 (Spartans)"
"Tue 14 May 2024","Team 7 (Wildcats)","Team 12 (Red Storm)"
"Tue 14 May 2024","Team 8 (Hawks)","Team 13 (Huskies)"
"Tue 14 May 2024","Team 9 (Tar Heels)","Team 10 (Gophers)"
"Tue 14 May 2024","Team 3 (Tigers)","Team 1 (Cavaliers)"
"Tue 14 May 2024","Team 4 (Ducks)","Team 2 (Eagles)"
"Tue 14 May 2024","Team 5 (Wolfpack)","Team 14 (Bulldogs)"
"Tue 14 May 2024","Team 6 (Spartans)","Team 11 (Bears)"
