"diff_idx","hist_row","hist_col"
1,-5,10
1,-4,107
1,-3,363
1,-2,892
1,-1,1495
1,0,1532
1,1,1257
1,2,734
1,3,241
1,4,60
1,5,2
2,-5,10
2,-4,71
2,-3,366
2,-2,944
2,-1,1370
2,0,1669
2,1,1297
2,2,654
2,3,240
2,4,59
2,5,13
3,-5,6
3,-4,64
3,-3,339
3,-2,845
3,-1,1546
3,0,1681
3,1,1305
3,2,630
3,3,223
3,4,52
3,5,2
4,-5,9
4,-4,83
4,-3,337
4,-2,934
4,-1,1391
4,0,1544
4,1,1378
4,2,726
4,3,228
4,4,56
4,5,7
5,-5,3
5,-4,80
5,-3,361
5,-2,844
5,-1,1393
5,0,1727
5,1,1290
5,2,717
5,3,229
5,4,43
5,5,6
6,-5,12
6,-4,111
6,-3,362
6,-2,875
6,-1,1545
6,0,1581
6,1,1273
6,2,657
6,3,233
6,4,40
6,5,4
7,-5,5
7,-4,104
7,-3,366
7,-2,948
7,-1,1516
7,0,1590
7,1,1222
7,2,638
7,3,229
7,4,63
7,5,12
8,-5,23
8,-4,90
8,-3,345
8,-2,854
8,-1,1473
8,0,1586
8,1,1262
8,2,720
8,3,281
8,4,53
8,5,6
9,-5,4
9,-4,58
9,-3,358
9,-2,864
9,-1,1564
9,0,1664
9,1,1276
9,2,636
9,3,222
9,4,43
9,5,4
10,-5,9
10,-4,91
10,-3,341
10,-2,907
10,-1,1504
10,0,1658
10,1,1277
10,2,611
10,3,246
10,4,49
11,-5,6
11,-4,56
11,-3,323
11,-2,898
11,-1,1369
11,0,1646
11,1,1355
11,2,743
11,3,219
11,4,66
11,5,12
