"Idx","Real Diffs","Simulated Diffs"
1,2,0
2,2,1
3,2,1
4,2,1
5,2,1
6,2,2
7,2,3
8,2,2
9,3,2
10,3,1
11,3,1
12,3,1
13,2,1
14,1,1
15,1,0
16,0,-1
17,-1,-2
18,-1,-2
19,-1,-2
20,0,-2
21,-1,-2
22,-1,-3
23,-1,-2
24,-1,-1
25,0,0
26,0,1
27,1,2
28,1,2
29,0,2
30,-1,2
31,-1,2
32,-2,2
33,-2,1
34,-2,1
35,-3,1
36,-3,0
37,-4,-1
38,-5,0
39,-4,-1
40,-4,0
41,-3,0
42,-3,0
43,-2,0
44,-2,-1
45,-1,-1
46,0,0
47,1,0
48,2,-1
49,2,-1
50,2,-2
51,1,-3
52,1,-3
53,0,-3
54,0,-3
55,0,-3
56,-1,-3
57,-2,-2
58,-3,-2
59,-3,-1
60,-2,0
61,-2,1
62,-2,1
63,-2,1
64,-2,1
65,-2,0
66,-1,-1
67,-1,-1
68,-1,0
69,-2,-1
70,-2,-2
71,-1,-3
72,0,-2
73,0,-1
74,1,0
75,0,1
76,0,1
77,0,1
78,1,1
79,2,2
80,2,2
81,2,3
82,2,3
83,2,2
84,2,1
85,2,0
86,1,1
87,2,0
88,1,0
89,1,-1
90,0,-1
91,0,-2
92,-1,-3
93,0,-2
94,0,-2
95,0,-2
96,0,-3
97,-1,-3
98,-1,-3
99,-2,-2
100,-1,-2
101,-1,-2
102,-1,-2
103,-2,-3
104,-3,-3
105,-3,-3
106,-2,-2
107,-1,-2
108,-1,-2
109,0,-3
110,-1,-2
111,-1,-2
112,0,-1
113,0,-1
114,1,0
115,2,1
116,1,0
117,0,0
118,1,0
119,0,0
120,1,-1
121,0,0
122,0,0
123,1,0
124,0,0
125,-1,-1
126,-1,-1
127,0,-1
128,0,-2
129,0,-1
130,0,0
131,1,-1
132,0,-1
133,-1,0
134,-1,0
135,0,1
136,-1,1
137,-1,1
138,-2,2
139,-1,1
140,-2,1
141,-1,1
142,-1,1
143,1,1
144,0,1
145,1,0
146,2,0
147,2,0
148,1,0
149,2,1
150,1,0
151,0,1
152,-1,0
153,-2,-1
154,-2,-1
155,-3,0
156,-3,0
157,-2,1
158,-1,0
159,-1,0
160,-1,1
161,-1,0
162,0,0
163,0,1
164,1,0
165,1,0
166,1,0
167,0,-1
168,-1,-1
169,-2,-2
170,-2,-2
171,-2,-1
172,-2,-1
173,-2,-2
174,-2,-2
175,-2,-3
176,-3,-2
177,-3,-1
178,-3,0
179,-3,1
180,-3,0
181,-2,-1
182,-3,0
183,-2,0
184,-2,0
185,-2,0
186,-1,-1
187,0,-1
188,1,-2
189,1,-3
190,1,-2
191,1,-2
192,2,-3
193,1,-3
194,0,-2
195,0,-2
196,-1,-2
197,-2,-3
198,-3,-3
199,-2,-3
200,-2,-3
201,-3,-3
202,-3,-2
203,-2,-1
204,-1,-1
205,-1,-1
206,-1,-1
207,0,-1
208,1,-1
209,0,0
210,1,0
211,1,1
212,0,1
213,0,1
214,0,1
215,1,1
216,1,1
217,1,1
218,1,1
219,2,0
220,2,-1
221,3,-2
222,3,-3
223,2,-4
224,2,-5
225,1,-4
226,1,-3
227,0,-2
228,0,-2
229,-1,-1
230,-2,-1
231,-2,-1
232,-2,0
233,-2,0
234,-2,0
235,-2,-1
236,-2,-1
237,-2,-2
238,-3,-1
239,-2,-2
240,-2,-2
241,-2,-1
242,-2,-1
243,-1,0
244,-2,0
245,-2,0
246,-2,0
247,-2,0
248,-1,0
249,-2,0
250,-1,1
251,-1,1
252,-1,0
253,-2,0
254,-2,1
255,-2,1
256,-1,1
257,0,1
258,0,1
259,1,1
260,1,0
261,1,-1
262,1,-1
263,2,-1
264,3,-2
265,3,-2
266,2,-3
267,1,-3
268,1,-3
269,1,-3
270,0,-2
271,-1,-2
272,-1,-1
273,-2,-1
274,-3,0
275,-3,0
276,-3,1
277,-2,1
278,-2,0
279,-2,0
